   alpha    CL        CD       CDp       CM      CPmin    CPpmin   Top_Xtr  Bot_Xtr
 -10.000  -0.7347   0.01014   0.00528  -0.0938  -3.4906   0.0048   0.6028   0.0235
  -9.000  -0.6092   0.00892   0.00413  -0.0991  -2.8490   0.0048   0.5858   0.0410
  -8.000  -0.4833   0.00807   0.00335  -0.1036  -2.2502   0.0048   0.5700   0.0612
  -7.000  -0.3566   0.00731   0.00270  -0.1081  -1.7220   0.0068   0.5558   0.0920
  -6.000  -0.2268   0.00625   0.00196  -0.1134  -1.2936   0.0308   0.5431   0.1771
  -5.000  -0.0972   0.00544   0.00145  -0.1182  -1.0227   0.0408   0.5323   0.2664
  -4.000   0.0299   0.00510   0.00122  -0.1219  -0.8492   0.1713   0.5216   0.3153
  -3.000   0.1566   0.00484   0.00107  -0.1254  -0.8030   0.3633   0.5097   0.3668
  -2.000   0.2822   0.00474   0.00102  -0.1285  -0.8827   0.3633   0.4991   0.3969
  -1.000   0.4072   0.00471   0.00101  -0.1314  -0.9630   0.3633   0.4897   0.4196
   0.000   0.5316   0.00472   0.00104  -0.1341  -1.0469   0.3367   0.4777   0.4415
   1.000   0.6552   0.00480   0.00111  -0.1367  -1.1327   0.3367   0.4646   0.4590
   2.000   0.7778   0.00494   0.00124  -0.1391  -1.2244   0.3100   0.4472   0.4764
   3.000   0.8985   0.00521   0.00143  -0.1411  -1.3174   0.2967   0.4174   0.4897
   4.000   1.0120   0.00608   0.00194  -0.1420  -1.4127   0.2567   0.3331   0.5012
   5.000   1.1201   0.00728   0.00271  -0.1419  -1.6020   0.0149   0.2358   0.5112
   6.000   1.2229   0.00870   0.00369  -0.1410  -1.9692   0.0119   0.1411   0.5223
   7.000   1.3213   0.01018   0.00480  -0.1392  -2.3883   0.0068   0.0693   0.5344
   8.000   1.4182   0.01146   0.00589  -0.1372  -2.8676   0.0068   0.0359   0.5448
   9.000   1.5148   0.01248   0.00686  -0.1352  -3.4420   0.0031   0.0286   0.5552
  10.000   1.5999   0.01360   0.00797  -0.1311  -4.0301   0.0031   0.0247   0.5654
  11.000   1.6665   0.01514   0.00954  -0.1242  -4.5917   0.0031   0.0218   0.5758
  12.000   1.7284   0.01750   0.01192  -0.1182  -5.1662   0.0031   0.0186   0.5872
  13.000   1.7862   0.02070   0.01518  -0.1131  -5.7458   0.0031   0.0171   0.5974
  14.000   1.8325   0.02531   0.01985  -0.1083  -6.3101   0.0031   0.0147   0.6074
  15.000   1.8669   0.03136   0.02600  -0.1038  -6.8358   0.0031   0.0129   0.6166
  16.000   1.8945   0.03843   0.03319  -0.1000  -7.3570   0.0018   0.0117   0.6278
  17.000   1.9133   0.04673   0.04161  -0.0966  -7.8776   0.0018   0.0109   0.6374
  18.000   1.9226   0.05628   0.05128  -0.0937  -8.3588   0.0018   0.0098   0.6448
  19.000   1.9294   0.06642   0.06157  -0.0916  -8.8443   0.0018   0.0091   0.6547
  20.000   1.9372   0.07660   0.07191  -0.0902  -9.3315   0.0018   0.0090   0.6641
  21.000   1.9339   0.08827   0.08374  -0.0896  -9.7702   0.0018   0.0084   0.6719
  22.000   1.9270   0.10054   0.09617  -0.0900 -10.1857   0.0018   0.0079   0.6812
  23.000   1.9197   0.11304   0.10883  -0.0916 -10.5827   0.0018   0.0072   0.6906
  24.000   1.9138   0.12551   0.12146  -0.0946 -10.9800   0.0018   0.0068   0.7002
  25.000   1.9115   0.13762   0.13375  -0.0988 -11.4043   0.0018   0.0067   0.7098
  26.000   1.9080   0.14991   0.14621  -0.1045 -11.8027   0.0018   0.0066   0.7218
  27.000   1.9029   0.16254   0.15902  -0.1118 -12.1747   0.0018   0.0065   0.7348
  28.000   1.8892   0.17648   0.17316  -0.1213 -12.4391   0.0018   0.0062   0.7495
  29.000   1.8765   0.19042   0.18730  -0.1323 -12.6947   0.0018   0.0061   0.7683
  30.000   1.8617   0.20474   0.20184  -0.1449 -12.9106   0.0018   0.0059   0.7994
  31.000   1.8358   0.22112   0.21873  -0.1605 -12.9574   0.0018   0.0055   1.0000
  32.000   1.8109   0.23744   0.23525  -0.1772 -12.9728   0.0018   0.0054   1.0000
  33.000   1.7752   0.25618   0.25423  -0.1974 -12.7598   0.0018   0.0051   1.0000
  34.000   1.7395   0.27533   0.27364  -0.2189 -12.4423   0.0018   0.0050   1.0000
  36.000   1.6505   0.32031   0.31916  -0.2698 -11.0670   0.0018   0.0047   1.0000
  37.000   1.6311   0.33726   0.33629  -0.2901 -10.6515   0.0002   0.0047   1.0000
  38.000   1.6177   0.35254   0.35171  -0.3090 -10.4070   0.0002   0.0046   1.0000
  39.000   1.6130   0.36464   0.36390  -0.3252 -10.3689   0.0002   0.0044   1.0000
 
